FECHA_CORTE;ANIO;COD_DPTO;NOM_DPTO;NOM_MUSEO;COD_MES;NOM_MES;COD_TIPO;NOM_TIPO;ADU_BOLESPPAGANTES;EST_BOLESPPAGANTES;NIN_BOLESPPAGANTES;MIL_BOLESPPAGANTES;ADM_BOLESPPAGANTES;ADU_PAGANTES;EST_PAGANTES;NIN_PAGANTES;TOTAL_PAGANTES;ADU_BOLESPNOPAGANTES;EST_BOLESPNOPAGANTES;NIN_BOLESPNOPAGANTES;MIL_BOLESPNOPAGANTES;ADM_BOLESPNOPAGANTES;ADU_NOPAGANTES;EST_NOPAGANTES;NIN_NOPAGANTES;TOTAL_NOPAGANTES;TOTAL;TIPO_cat_cod
20260831;2023;10;Huánuco;Sala de Exhibición de La Zona Arqueológica Monumental de Kotosh;12;Diciembre;0;Nacionales;0;0;0;0;0;2622;1361;716;4699;0;0;0;0;0;398;93;143;634;5333;Museo
20260831;2023;10;Huánuco;Sala de Exhibición de La Zona Arqueológica Monumental de Kotosh;12;Diciembre;1;Extranjeros;0;0;0;0;0;8;0;0;8;0;0;0;0;0;0;0;0;0;8;Museo
20260831;2023;11;Ica;"Museo Regional de Ica ""Adolfo Bermúdez Jenkins""";01;Enero;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;6;20;50;50;Museo
20260831;2023;11;Ica;"Museo Regional de Ica ""Adolfo Bermúdez Jenkins""";01;Enero;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Museo
20260831;2023;11;Ica;"Museo Regional de Ica ""Adolfo Bermúdez Jenkins""";02;Febrero;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144;75;83;302;302;Museo
20260831;2023;11;Ica;"Museo Regional de Ica ""Adolfo Bermúdez Jenkins""";02;Febrero;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Museo
20260831;2023;11;Ica;"Museo Regional de Ica ""Adolfo Bermúdez Jenkins""";03;Marzo;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;1;50;9;48;108;108;Museo
20260831;2023;11;Ica;"Museo Regional de Ica ""Adolfo Bermúdez Jenkins""";03;Marzo;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Museo
20260831;2023;11;Ica;"Museo Regional de Ica ""Adolfo Bermúdez Jenkins""";04;Abril;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;31;91;196;196;Museo
20260831;2023;11;Ica;"Museo Regional de Ica ""Adolfo Bermúdez Jenkins""";04;Abril;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Museo
20260831;2023;11;Ica;"Museo Regional de Ica ""Adolfo Bermúdez Jenkins""";05;Mayo;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;4;38;12;39;93;93;Museo
